Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,PF,PA,PD,PC,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate
411,MIA,1999,1999-10-10,04:15:00 AM,03:15:00 AM,@,IND,5,4,Sun,W 34-31,,34,31,3,65,25,38,65.8,393,2,0,0,0,117.5
412,MIA,2001,2001-11-11,01:00:00 AM,01:00:00 AM,@,IND,9,8,Sun,W 27-24,,27,24,3,51,17,30,56.7,241,2,2,1,18,79.7
413,MIA,2005,2005-09-25,01:02:00 AM,01:02:00 AM,,CAR,3,3,Sun,W 27-24,,27,24,3,51,14,33,42.4,171,2,1,0,0,66.6
414,MIA,2010,2010-10-17,01:02:00 AM,12:02:00 PM,@,GNB,6,5,Sun,W 23-20,OT,23,20,3,43,23,39,59,231,2,1,0,0,82.3
415,MIA,2012,2012-10-14,01:00:00 AM,01:00:00 AM,,STL,6,6,Sun,W 17-14,,17,14,3,31,21,29,72.4,156,2,0,3,29,112
416,MIA,2016,2016-12-24,01:00:00 AM,01:00:00 AM,@,BUF,16,15,Sat,W 34-31,OT,34,31,3,65,16,30,53.3,233,2,1,0,0,87.2
417,MIA,2017,2017-10-15,01:00:00 AM,01:00:00 AM,@,ATL,6,5,Sun,W 20-17,,20,17,3,37,19,33,57.6,151,2,1,0,0,76.7
418,MIA,2020,2020-11-08,04:25:00 AM,02:25:00 AM,@,ARI,9,8,Sun,W 34-31,,34,31,3,65,20,28,71.4,221,2,0,3,27,122.3
419,MIN,1981,1981-10-04,01:00:00 AM,12:00:00 PM,,CHI,5,5,Sun,W 24-21,,24,21,3,45,20,38,52.6,211,2,1,1,12,77
420,MIN,1983,1983-11-20,01:00:00 AM,01:00:00 AM,@,PIT,12,12,Sun,W 17-14,,17,14,3,31,16,27,59.3,188,2,2,0,0,74.3
421,MIN,1986,1986-10-12,04:00:00 AM,01:00:00 AM,@,SFO,6,6,Sun,W 27-24,OT,27,24,3,51,26,41,63.4,317,2,2,2,9,84
422,MIN,1990,1990-11-18,04:00:00 AM,01:00:00 AM,@,SEA,11,10,Sun,W 24-21,,24,21,3,45,19,33,57.6,161,2,0,3,16,92.6
423,MIN,1992,1992-09-06,01:00:00 AM,12:00:00 PM,@,GNB,1,1,Sun,W 23-20,OT,23,20,3,43,21,44,47.7,248,2,1,2,18,72.7
424,MIN,1993,1993-11-14,04:00:00 AM,02:00:00 AM,@,DEN,11,9,Sun,W 26-23,,26,23,3,49,19,37,51.4,357,2,1,1,9,92.8
425,MIN,1997,1997-09-07,01:00:00 AM,12:00:00 PM,@,CHI,2,2,Sun,W 27-24,,27,24,3,51,33,44,75,261,2,1,3,24,97.3
426,MIN,1999,1999-10-31,04:15:00 AM,02:15:00 AM,@,DEN,8,8,Sun,W 23-20,,23,20,3,43,17,29,58.6,205,2,0,2,13,105.2
427,MIN,2004,2004-11-21,01:00:00 AM,12:00:00 PM,,DET,11,10,Sun,W 22-19,,22,19,3,41,22,32,68.8,212,2,1,3,21,97.5
428,MIN,2005,2005-10-23,01:00:00 AM,12:00:00 PM,,GNB,7,6,Sun,W 23-20,,23,20,3,43,23,31,74.2,255,2,0,5,25,123.1
429,MIN,2008,2008-10-06,08:40:00 AM,07:40:00 AM,@,NOR,5,5,Mon,W 30-27,,30,27,3,57,20,37,54.1,226,2,0,1,0,90.6
430,MIN,2009,2009-09-27,01:03:00 AM,12:03:00 PM,,SFO,3,3,Sun,W 27-24,,27,24,3,51,24,46,52.2,283,2,1,2,18,78.3
431,MIN,2010,2010-11-07,01:05:00 AM,12:05:00 PM,,ARI,9,8,Sun,W 27-24,OT,27,24,3,51,36,47,76.6,427,2,2,3,19,101.9
432,MIN,2016,2016-09-18,08:32:00 AM,07:32:00 AM,,GNB,2,2,Sun,W 17-14,,17,14,3,31,22,31,71,254,2,0,4,32,121.2
433,NOR,1983,1983-09-18,01:00:00 AM,12:00:00 PM,,CHI,3,3,Sun,W 34-31,OT,34,31,3,65,26,40,65,248,2,3,6,55,73.2
434,NOR,1984,1984-11-19,09:00:00 AM,08:00:00 AM,,PIT,12,12,Mon,W 27-24,,27,24,3,51,18,31,58.1,176,2,2,6,47,75.1
435,NOR,1988,1988-10-03,09:00:00 AM,08:00:00 AM,,DAL,5,5,Mon,W 20-17,,20,17,3,37,17,37,45.9,268,2,1,1,5,77.9
436,NOR,1989,1989-12-10,01:00:00 AM,01:00:00 AM,@,BUF,14,14,Sun,W 22-19,,22,19,3,41,15,27,55.6,286,2,1,3,16,104.2
437,NOR,1991,1991-09-01,01:00:00 AM,12:00:00 PM,,SEA,1,1,Sun,W 27-24,,27,24,3,51,18,29,62.1,201,2,2,4,25,80.5
438,NOR,1995,1995-11-12,01:00:00 AM,12:00:00 PM,,IND,11,10,Sun,W 17-14,,17,14,3,31,27,37,73,225,2,1,1,3,95.3
439,NOR,1996,1996-10-13,01:00:00 AM,12:00:00 PM,,CHI,7,7,Sun,W 27-24,,27,24,3,51,22,31,71,218,2,1,1,5,99.3
440,NOR,2002,2002-12-01,08:37:00 AM,07:37:00 AM,,TAM,13,12,Sun,W 23-20,,23,20,3,43,10,26,38.5,136,2,0,4,29,86.2
441,NOR,2009,2009-12-06,01:03:00 AM,01:03:00 AM,@,WAS,13,12,Sun,W 33-30,OT,33,30,3,63,35,49,71.4,408,2,1,1,11,102.3
442,NOR,2010,2010-09-20,08:36:00 AM,05:36:00 AM,@,SFO,2,2,Mon,W 25-22,,25,22,3,47,28,38,73.7,237,2,0,2,17,108.9
443,NOR,2011,2011-10-09,01:04:00 AM,01:04:00 AM,@,CAR,5,5,Sun,W 30-27,,30,27,3,57,32,45,71.1,343,2,1,2,16,100.1
444,NOR,2011,2011-11-13,01:03:00 AM,01:03:00 AM,@,ATL,10,10,Sun,W 26-23,OT,26,23,3,49,30,43,69.8,322,2,0,0,0,106.9
445,NOR,2017,2017-11-19,01:00:00 AM,12:00:00 PM,,WAS,11,10,Sun,W 34-31,OT,34,31,3,65,29,41,70.7,375,2,1,2,10,106.3
446,NOR,2018,2018-09-16,01:00:00 AM,12:00:00 PM,,CLE,2,2,Sun,W 21-18,,21,18,3,39,28,35,80,213,2,0,3,30,114.6
447,NOR,2020,2020-10-25,01:00:00 AM,12:00:00 PM,,CAR,7,6,Sun,W 27-24,,27,24,3,51,30,37,81.1,277,2,0,1,10,117
448,NOR,2020,2020-11-01,04:25:00 AM,03:25:00 AM,@,CHI,8,7,Sun,W 26-23,OT,26,23,3,49,31,41,75.6,272,2,0,1,8,109.8
449,NWE,1974,1974-10-27,02:00:00 AM,01:00:00 AM,@,MIN,7,7,Sun,W 17-14,,17,14,3,31,15,28,53.6,218,2,2,2,20,76.2
450,NWE,1976,1976-09-26,01:00:00 AM,01:00:00 AM,@,PIT,3,3,Sun,W 30-27,,30,27,3,57,13,32,40.6,257,2,2,0,0,64.2
451,NWE,1987,1987-11-01,01:00:00 AM,01:00:00 AM,,RAI,8,7,Sun,W 26-23,,26,23,3,49,17,31,54.8,296,2,1,3,22,98.6
452,NWE,1989,1989-09-10,04:00:00 AM,04:00:00 AM,@,NYJ,1,1,Sun,W 27-24,,27,24,3,51,15,23,65.2,273,2,2,0,0,98.6
453,NWE,1992,1992-11-15,01:00:00 AM,01:00:00 AM,@,IND,11,10,Sun,W 37-34,OT,37,34,3,71,20,29,69,226,2,1,4,35,105.7
454,NWE,1997,1997-09-14,08:00:00 AM,08:00:00 AM,,NYJ,3,3,Sun,W 27-24,OT,27,24,3,51,16,34,47.1,162,2,2,0,0,56.3
455,NWE,1997,1997-11-30,01:00:00 AM,01:00:00 AM,,IND,14,13,Sun,W 20-17,,20,17,3,37,20,33,60.6,187,2,0,2,17,98.5
456,NWE,1998,1998-11-23,08:20:00 AM,08:20:00 AM,,MIA,12,11,Mon,W 26-23,,26,23,3,49,28,54,51.9,414,2,2,1,9,74.8
457,NWE,1998,1998-12-20,01:00:00 AM,01:00:00 AM,,SFO,16,15,Sun,W 24-21,,24,21,3,45,14,30,46.7,200,2,2,1,5,63.9
458,NWE,2001,2001-10-14,01:03:00 AM,01:03:00 AM,,SDG,5,5,Sun,W 29-26,OT,29,26,3,55,33,54,61.1,345,2,0,3,19,93.4
459,NWE,2003,2003-11-23,01:02:00 AM,12:02:00 PM,@,HOU,12,11,Sun,W 23-20,OT,23,20,3,43,29,47,61.7,344,2,2,4,24,82.6
460,NWE,2007,2007-12-03,08:41:00 AM,08:41:00 AM,@,BAL,13,12,Mon,W 27-24,,27,24,3,51,18,38,47.4,236,2,1,3,21,76.3
461,NWE,2007,2007-12-29,08:15:00 AM,08:15:00 AM,@,NYG,17,16,Sat,W 38-35,,38,35,3,73,32,42,76.2,346,2,0,1,10,116.8
462,NWE,2010,2010-11-21,04:15:00 AM,04:15:00 AM,,IND,11,10,Sun,W 31-28,,31,28,3,59,19,25,76,178,2,0,1,8,123.1
463,NWE,2012,2012-10-21,04:25:00 AM,04:25:00 AM,,NYJ,7,7,Sun,W 29-26,OT,29,26,3,55,26,42,61.9,250,2,0,1,9,95.2
464,NWE,2013,2013-12-01,01:02:00 AM,12:02:00 PM,@,HOU,13,12,Sun,W 34-31,,34,31,3,65,29,41,70.7,365,2,1,1,6,104.8
465,NYG,1970,1970-11-29,01:00:00 AM,01:00:00 AM,@,WAS,11,11,Sun,W 27-24,,27,24,3,51,24,36,66.7,251,2,1,3,16,95.5
466,NYG,1981,1981-10-25,01:00:00 AM,01:00:00 AM,@,ATL,8,8,Sun,W 27-24,OT,27,24,3,51,19,32,59.4,213,2,0,5,43,105.7
467,NYG,1984,1984-09-23,04:00:00 AM,04:00:00 AM,,TAM,4,4,Sun,W 17-14,,17,14,3,31,17,34,50,161,2,0,3,25,86.2
468,NYG,1986,1986-09-28,01:00:00 AM,01:00:00 AM,,NOR,4,4,Sun,W 20-17,,20,17,3,37,24,41,58.5,274,2,3,2,12,65.7
469,NYG,1987,1987-12-06,01:00:00 AM,01:00:00 AM,,PHI,13,12,Sun,W 23-20,OT,23,20,3,43,16,34,47.1,221,2,1,4,24,78.7
470,NYG,1989,1989-09-11,09:00:00 AM,09:00:00 AM,@,WAS,1,1,Mon,W 27-24,,27,24,3,51,11,19,57.9,231,2,2,4,24,97.9
471,NYG,1989,1989-10-15,01:00:00 AM,01:00:00 AM,,WAS,6,6,Sun,W 20-17,,20,17,3,37,16,32,50,173,2,1,3,28,77.7
472,NYG,1994,1994-09-11,08:00:00 AM,06:00:00 AM,@,ARI,2,2,Sun,W 20-17,,20,17,3,37,11,17,64.7,88,2,1,4,31,99.9
473,NYG,2000,2000-12-23,12:37:00 PM,12:37:00 PM,,JAX,17,16,Sat,W 28-25,,28,25,3,53,22,39,56.4,293,2,1,3,28,89.8
474,NYG,2003,2003-11-02,01:03:00 AM,01:03:00 AM,@,NYJ,9,8,Sun,W 31-28,OT,31,28,3,59,24,40,60,298,2,0,1,5,100.3
475,NYG,2011,2011-10-30,01:02:00 AM,01:02:00 AM,,MIA,8,7,Sun,W 20-17,,20,17,3,37,31,45,68.9,344,2,0,1,5,106.6
476,NYG,2011,2011-12-11,08:30:00 AM,07:30:00 AM,@,DAL,14,13,Sun,W 37-34,,37,34,3,71,27,47,57.4,400,2,1,0,0,90.7
477,NYG,2018,2018-11-18,01:00:00 AM,01:00:00 AM,,TAM,11,10,Sun,W 38-35,,38,35,3,73,17,18,94.4,196,2,0,4,35,155.8
478,NYG,2018,2018-12-02,01:00:00 AM,01:00:00 AM,,CHI,13,12,Sun,W 30-27,OT,30,27,3,57,20,36,55.6,197,2,1,3,22,80.7
479,NYJ,1974,1974-11-24,01:00:00 AM,01:00:00 AM,,MIA,11,11,Sun,W 17-14,,17,14,3,31,13,22,59.1,139,2,3,4,43,76.5
480,NYJ,1977,1977-10-02,01:00:00 AM,01:00:00 AM,,NWE,3,3,Sun,W 30-27,,30,27,3,57,12,21,57.1,144,2,3,1,10,72.4
481,NYJ,1978,1978-11-05,04:00:00 AM,02:00:00 AM,@,DEN,10,10,Sun,W 31-28,,31,28,3,59,12,27,44.4,201,2,2,2,15,66.3
482,NYJ,1979,1979-12-15,12:30:00 PM,12:30:00 PM,@,MIA,16,16,Sat,W 27-24,,27,24,3,51,12,22,54.5,226,2,3,0,0,81.1
483,NYJ,1983,1983-09-25,04:00:00 AM,04:00:00 AM,,RAM,4,4,Sun,W 27-24,OT,27,24,3,51,37,50,74,403,2,2,4,43,97.6
484,NYJ,1985,1985-10-27,01:00:00 AM,01:00:00 AM,,SEA,8,8,Sun,W 17-14,,17,14,3,31,13,25,52,123,2,1,7,59,85.7
485,NYJ,1987,1987-09-13,01:00:00 AM,01:00:00 AM,@,BUF,1,1,Sun,W 31-28,,31,28,3,59,24,35,68.6,261,2,1,4,15,99.2
486,NYJ,1994,1994-09-11,04:00:00 AM,04:00:00 AM,,DEN,2,2,Sun,W 25-22,OT,25,22,3,47,26,37,70.3,287,2,2,1,10,89.6
487,NYJ,2003,2003-11-09,04:15:00 AM,01:15:00 AM,@,OAK,10,9,Sun,W 27-24,OT,27,24,3,51,18,27,66.7,269,2,0,0,0,123.8
488,NYJ,2006,2006-10-15,04:15:00 AM,04:15:00 AM,,MIA,6,6,Sun,W 20-17,,20,17,3,37,17,29,58.6,169,2,0,2,6,99.1
489,NYJ,2007,2007-09-23,01:02:00 AM,01:02:00 AM,,MIA,3,3,Sun,W 31-28,,31,28,3,59,15,22,68.2,115,2,0,1,9,112.7
490,NYJ,2008,2008-11-13,08:15:00 AM,08:15:00 AM,@,NWE,11,10,Thu,W 34-31,OT,34,31,3,65,26,33,78.8,235,2,0,3,23,119.4
491,NYJ,2011,2011-09-11,08:33:00 AM,08:33:00 AM,,DAL,1,1,Sun,W 27-24,,27,24,3,51,26,44,59.1,315,2,1,4,20,88.7
492,NYJ,2015,2015-12-06,01:03:00 AM,01:03:00 AM,@,NYG,13,12,Sun,W 23-20,OT,23,20,3,43,36,50,72,373,2,0,3,17,107.9
493,NYJ,2017,2017-10-08,01:00:00 AM,01:00:00 AM,@,CLE,5,5,Sun,W 17-14,,17,14,3,31,23,30,76.7,178,2,1,3,16,101.2
494,HOU,1979,1979-09-23,01:00:00 AM,01:00:00 AM,@,CIN,4,4,Sun,W 30-27,OT,30,27,3,57,15,33,45.5,184,2,2,2,14,59.9
495,HOU,1985,1985-11-03,01:00:00 AM,12:00:00 PM,,KAN,9,9,Sun,W 23-20,,23,20,3,43,24,35,68.6,241,2,1,2,14,96.7
496,HOU,1988,1988-09-11,04:00:00 AM,03:00:00 AM,,RAI,2,2,Sun,W 38-35,,38,35,3,73,21,34,61.8,250,2,1,4,26,94.7
497,HOU,1989,1989-12-10,01:00:00 AM,12:00:00 PM,,TAM,14,14,Sun,W 20-17,,20,17,3,37,14,23,60.9,149,2,0,0,0,108.8
498,HOU,1990,1990-11-26,09:00:00 AM,08:00:00 AM,,BUF,12,11,Mon,W 27-24,,27,24,3,51,16,22,72.7,283,2,0,3,17,145.1
499,HOU,1991,1991-10-13,04:00:00 AM,04:00:00 AM,@,NYJ,7,6,Sun,W 23-20,,23,20,3,43,35,50,70,409,2,2,1,14,92.3
500,HOU,1991,1991-12-15,01:00:00 AM,01:00:00 AM,@,CLE,16,15,Sun,W 17-14,,17,14,3,31,26,40,65,247,2,1,1,3,88.5
501,HOU,1992,1992-09-20,01:00:00 AM,12:00:00 PM,,KAN,3,3,Sun,W 23-20,OT,23,20,3,43,19,28,67.9,265,2,2,2,14,94.2
502,HOU,1992,1992-12-20,01:00:00 AM,01:00:00 AM,@,CLE,16,15,Sun,W 17-14,,17,14,3,31,19,34,55.9,214,2,2,5,34,74.1
503,HOU,1996,1996-10-06,08:00:00 AM,08:00:00 AM,@,CIN,6,5,Sun,W 30-27,OT,30,27,3,57,18,32,56.3,175,2,1,2,18,81.9
504,TEN,1999,1999-10-17,01:02:00 AM,12:02:00 PM,@,NOR,6,6,Sun,W 24-21,,24,21,3,45,12,25,48,113,2,2,1,11,56.1
505,TEN,1999,1999-10-31,01:03:00 AM,12:03:00 PM,,STL,8,7,Sun,W 24-21,,24,21,3,45,13,29,44.8,178,2,0,1,8,89.2
506,TEN,2000,2000-09-10,01:03:00 AM,12:03:00 PM,,KAN,2,2,Sun,W 17-14,OT,17,14,3,31,23,36,63.9,232,2,2,4,23,80.2
507,TEN,2002,2002-09-08,01:06:00 AM,12:06:00 PM,,PHI,1,1,Sun,W 27-24,,27,24,3,51,24,34,70.6,267,2,1,1,2,101.2
508,TEN,2003,2003-12-21,01:03:00 AM,12:03:00 PM,@,HOU,16,15,Sun,W 27-24,,27,24,3,51,17,36,47.2,268,2,1,0,0,79.4
509,TEN,2006,2006-11-26,04:15:00 AM,03:15:00 AM,,NYG,12,11,Sun,W 24-21,,24,21,3,45,24,35,68.6,235,2,0,2,14,107.9
510,TEN,2006,2006-12-03,01:03:00 AM,12:03:00 PM,,IND,13,12,Sun,W 20-17,,20,17,3,37,15,25,60,163,2,2,0,0,72.6
511,TEN,2011,2011-09-25,01:02:00 AM,12:02:00 PM,,DEN,3,3,Sun,W 17-14,,17,14,3,31,27,36,75,295,2,0,2,16,119.1
512,TEN,2012,2012-09-23,01:03:00 AM,12:03:00 PM,,DET,3,3,Sun,W 44-41,OT,44,41,3,85,29,42,69,378,2,0,0,0,113
513,TEN,2017,2017-11-05,01:00:00 AM,12:00:00 PM,,BAL,9,8,Sun,W 23-20,,23,20,3,43,19,28,67.9,186,2,1,3,32,100
514,TEN,2018,2018-09-16,01:00:00 AM,12:00:00 PM,,HOU,2,2,Sun,W 20-17,,20,17,3,37,15,22,68.2,183,2,0,1,8,125.4
515,TEN,2018,2018-09-30,01:00:00 AM,12:00:00 PM,,PHI,4,4,Sun,W 26-23,OT,26,23,3,49,30,43,69.8,327,2,1,3,17,99.4
516,TEN,2019,2019-10-20,04:05:00 AM,03:05:00 AM,,LAC,7,7,Sun,W 23-20,,23,20,3,43,24,30,80,306,2,1,2,17,119.9
517,TEN,2019,2019-11-10,01:00:00 AM,12:00:00 PM,,KAN,10,10,Sun,W 35-32,,35,32,3,67,13,19,68.4,146,2,0,4,35,133.9
518,PHI,1980,1980-10-26,04:00:00 AM,04:00:00 AM,,CHI,8,8,Sun,W 17-14,,17,14,3,31,15,26,57.7,167,2,0,2,13,104.6
519,PHI,1982,1982-09-19,01:00:00 AM,01:00:00 AM,@,CLE,2,2,Sun,W 24-21,,24,21,3,45,25,41,61,330,2,1,1,4,92.9
520,PHI,1987,1987-11-29,01:00:00 AM,01:00:00 AM,@,NWE,12,11,Sun,W 34-31,OT,34,31,3,65,18,31,58.1,287,2,1,3,27,100.7
521,PHI,1993,1993-09-12,01:00:00 AM,12:00:00 PM,@,GNB,2,2,Sun,W 20-17,,20,17,3,37,23,29,79.3,191,2,1,3,18,105.3
522,PHI,1996,1996-09-01,01:00:00 AM,01:00:00 AM,@,WAS,1,1,Sun,W 17-14,,17,14,3,31,20,34,58.8,258,2,1,2,11,91.4
523,PHI,1997,1997-11-23,01:00:00 AM,01:00:00 AM,,PIT,13,12,Sun,W 23-20,,23,20,3,43,15,31,48.4,229,2,0,3,17,97
524,PHI,1998,1998-12-03,08:20:00 AM,08:20:00 AM,,STL,14,13,Thu,W 17-14,,17,14,3,31,17,33,51.5,169,2,1,0,0,73.9
525,PHI,2000,2000-11-12,01:01:00 AM,01:01:00 AM,@,PIT,11,11,Sun,W 26-23,OT,26,23,3,49,26,55,47.3,202,2,0,3,11,69.7
526,PHI,2005,2005-09-25,01:03:00 AM,01:03:00 AM,,OAK,3,3,Sun,W 23-20,,23,20,3,43,30,52,57.7,365,2,1,1,0,84.2
527,PHI,2010,2010-09-19,01:02:00 AM,01:02:00 AM,@,DET,2,2,Sun,W 35-32,,35,32,3,67,21,34,61.8,248,2,0,5,36,108
528,PHI,2010,2010-12-12,08:30:00 AM,07:30:00 AM,@,DAL,14,13,Sun,W 30-27,,30,27,3,57,16,26,61.5,258,2,2,2,12,90.2
529,PIT,1977,1977-11-27,01:00:00 AM,01:00:00 AM,@,NYJ,11,11,Sun,W 23-20,,23,20,3,43,10,28,35.7,124,2,1,2,19,62.1
530,PIT,1979,1979-09-16,04:00:00 AM,03:00:00 AM,@,STL,3,3,Sun,W 24-21,,24,21,3,45,17,35,48.6,234,2,2,1,8,66.6
531,PIT,1980,1980-09-14,02:00:00 AM,02:00:00 AM,@,BAL,2,2,Sun,W 20-17,,20,17,3,37,20,35,57.1,273,2,1,1,9,90.4
532,PIT,1980,1980-11-16,01:00:00 AM,01:00:00 AM,,CLE,11,11,Sun,W 16-13,,16,13,3,29,19,35,54.3,240,2,4,3,23,58.1
533,PIT,1992,1992-11-15,01:00:00 AM,01:00:00 AM,,DET,11,10,Sun,W 17-14,,17,14,3,31,19,35,54.3,164,2,1,3,33,77.9
534,PIT,1993,1993-12-05,01:00:00 AM,01:00:00 AM,,NWE,14,12,Sun,W 17-14,,17,14,3,31,17,32,53.1,92,2,0,3,23,82.2
535,PIT,1995,1995-11-05,04:00:00 AM,03:00:00 AM,@,CHI,10,9,Sun,W 37-34,OT,37,34,3,71,34,52,65.4,298,2,2,5,43,80.7
536,PIT,2002,2002-11-03,01:03:00 AM,01:03:00 AM,@,CLE,9,8,Sun,W 23-20,,23,20,3,43,25,44,56.8,255,2,1,2,10,80.2
537,PIT,2002,2002-12-29,01:02:00 AM,01:02:00 AM,,BAL,17,16,Sun,W 34-31,,34,31,3,65,20,30,66.7,176,2,2,4,18,79
538,PIT,2004,2004-12-18,01:37:00 AM,01:37:00 AM,@,NYG,15,14,Sat,W 33-30,,33,30,3,63,19,29,65.5,309,2,2,3,17,97.8
539,PIT,2007,2007-11-11,01:02:00 AM,01:02:00 AM,,CLE,10,9,Sun,W 31-28,,31,28,3,59,23,35,65.7,242,2,1,4,36,97.1
540,PIT,2015,2015-11-08,01:02:00 AM,01:02:00 AM,,OAK,9,9,Sun,W 38-35,,38,35,3,73,28,50,56,402,2,1,1,11,88.2
541,PIT,2017,2017-09-10,01:00:00 AM,01:00:00 AM,@,CLE,1,1,Sun,W 21-18,,21,18,3,39,24,36,66.7,255,2,1,1,8,95
542,PIT,2017,2017-11-12,01:00:00 AM,01:00:00 AM,@,IND,10,9,Sun,W 20-17,,20,17,3,37,19,31,61.3,228,2,1,1,8,92.9
543,PIT,2017,2017-12-04,08:30:00 AM,08:30:00 AM,@,CIN,13,12,Mon,W 23-20,,23,20,3,43,24,40,60,282,2,1,1,8,88.5
544,PIT,2020,2020-10-25,01:00:00 AM,12:00:00 PM,@,TEN,7,6,Sun,W 27-24,,27,24,3,51,32,49,65.3,268,2,3,0,0,67.4
545,OAK,1970,1970-11-08,04:00:00 AM,01:00:00 AM,,CLE,8,8,Sun,W 23-20,,23,20,3,43,14,32,43.8,134,2,1,4,36,68.5
546,OAK,1980,1980-09-21,04:00:00 AM,01:00:00 AM,,WAS,3,3,Sun,W 24-21,,24,21,3,45,17,33,51.5,164,2,3,1,12,49.6
547,OAK,1980,1980-12-14,04:00:00 AM,02:00:00 AM,@,DEN,15,15,Sun,W 24-21,,24,21,3,45,13,21,61.9,179,2,1,3,34,107.8
548,RAI,1985,1985-11-24,04:00:00 AM,01:00:00 AM,,DEN,12,12,Sun,W 31-28,OT,31,28,3,59,16,34,47.1,223,2,3,2,15,53.3
549,RAI,1988,1988-09-26,08:00:00 AM,06:00:00 AM,@,DEN,4,4,Mon,W 30-27,OT,30,27,3,57,13,35,37.1,235,2,1,1,7,69
550,RAI,1989,1989-11-26,04:00:00 AM,01:00:00 AM,,NWE,12,12,Sun,W 24-21,,24,21,3,45,15,25,60,136,2,0,4,33,106.9
551,RAI,1991,1991-10-13,07:30:00 AM,04:30:00 AM,@,SEA,7,7,Sun,W 23-20,OT,23,20,3,43,28,52,53.8,274,2,2,0,0,65.7
552,RAI,1993,1993-10-18,09:00:00 AM,07:00:00 AM,@,DEN,7,6,Mon,W 23-20,,23,20,3,43,15,25,60,255,2,1,2,9,106.1
553,RAI,1994,1994-11-13,04:00:00 AM,01:00:00 AM,@,RAM,11,10,Sun,W 20-17,,20,17,3,37,17,26,65.4,208,2,1,3,10,101.1
554,OAK,1997,1997-10-19,04:00:00 AM,01:00:00 AM,,DEN,8,7,Sun,W 28-25,,28,25,3,53,9,12,75,81,2,1,2,15,102.8
555,OAK,2000,2000-10-15,01:00:00 AM,12:00:00 PM,@,KAN,7,6,Sun,W 20-17,,20,17,3,37,28,33,84.8,230,2,0,2,14,117.7
556,OAK,2001,2001-09-09,12:01:00 PM,12:01:00 PM,@,KAN,1,1,Sun,W 27-24,,27,24,3,51,31,46,67.4,327,2,1,2,14,94.6
557,OAK,2009,2009-11-22,04:15:00 AM,01:15:00 AM,,CIN,11,10,Sun,W 20-17,,20,17,3,37,17,34,50,183,2,1,0,0,73.5
558,OAK,2015,2015-12-13,04:05:00 AM,02:05:00 AM,@,DEN,14,13,Sun,W 15-12,,15,12,3,27,12,29,41.4,99,2,0,3,36,79
559,OAK,2016,2016-10-09,04:25:00 AM,01:25:00 AM,,SDG,5,5,Sun,W 34-31,,34,31,3,65,25,40,62.5,300,2,1,3,17,93.4
560,OAK,2016,2016-11-27,04:25:00 AM,01:25:00 AM,,CAR,12,11,Sun,W 35-32,,35,32,3,67,26,39,66.7,310,2,1,1,5,97.7
561,OAK,2018,2018-12-09,04:25:00 AM,01:25:00 AM,,PIT,14,13,Sun,W 24-21,,24,21,3,45,25,34,73.5,299,2,0,4,23,122.4
562,RAM,1976,1976-10-03,04:00:00 AM,04:00:00 AM,@,MIA,4,4,Sun,W 31-28,,31,28,3,59,17,29,58.6,426,2,1,1,10,111.6
563,RAM,1978,1978-11-19,04:00:00 AM,01:00:00 AM,@,SFO,12,12,Sun,W 31-28,,31,28,3,59,17,25,68,255,2,0,2,12,129.9
564,RAM,1979,1979-09-16,04:00:00 AM,01:00:00 AM,,SFO,3,3,Sun,W 27-24,,27,24,3,51,17,29,58.6,165,2,1,4,35,88.3
565,RAM,1989,1989-09-24,04:00:00 AM,01:00:00 AM,,GNB,3,3,Sun,W 41-38,,41,38,3,79,19,31,61.3,223,2,2,2,15,79.8
566,STL,1995,1995-09-03,01:00:00 AM,12:00:00 PM,@,GNB,1,1,Sun,W 17-14,,17,14,3,31,19,30,63.3,133,2,0,5,33,100.1
567,STL,2003,2003-09-14,01:02:00 AM,12:02:00 PM,,SFO,2,2,Sun,W 27-24,OT,27,24,3,51,25,36,69.4,190,2,0,5,46,105.8
568,STL,2005,2005-10-30,01:02:00 AM,12:02:00 PM,,JAX,8,8,Sun,W 24-21,,24,21,3,45,13,21,61.9,186,2,3,2,14,85.5
569,STL,2006,2006-10-08,01:02:00 AM,12:02:00 PM,@,GNB,5,5,Sun,W 23-20,,23,20,3,43,18,28,64.3,209,2,0,2,11,112.2
570,STL,2013,2013-09-08,04:23:00 AM,03:23:00 AM,,ARI,1,1,Sun,W 27-24,,27,24,3,51,27,38,71.1,299,2,1,0,0,100.7
571,BAL,1999,1999-11-21,05:05:00 AM,04:05:00 AM,@,CIN,11,10,Sun,W 34-31,,34,31,3,65,24,40,60,225,2,1,7,49,86.9
572,BAL,2004,2004-11-14,01:02:00 AM,01:02:00 AM,@,NYJ,10,9,Sun,W 20-17,OT,20,17,3,37,19,33,57.6,186,2,0,3,27,97.2
573,BAL,2006,2006-10-01,01:02:00 AM,01:02:00 AM,,SDG,4,4,Sun,W 16-13,,16,13,3,29,17,30,56.7,150,2,2,2,8,65.7
574,BAL,2013,2013-11-10,01:02:00 AM,01:02:00 AM,,CIN,10,9,Sun,W 20-17,OT,20,17,3,37,20,36,55.6,104,2,2,5,36,60
